task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
31aa019c,19.87,10,2271,26267,0.1
31aa019c,18.21,10,2271,25808,0.3
31aa019c,20.06,10,2271,23331,0.5
31aa019c,18.47,10,2271,23738,0.7
31aa019c,17.95,10,2271,21965,0.9
7c008303,17.58,10,1524,21490,0.1
7c008303,17.82,10,1524,24057,0.3
7c008303,20.89,10,1524,20066,0.5
7c008303,17.59,10,1524,15720,0.7
7c008303,17.24,10,1524,13841,0.9
8be77c9e,6.43,10,714,8406,0.1
8be77c9e,7.12,10,714,8815,0.3
8be77c9e,7.41,10,714,9378,0.5
8be77c9e,8.62,10,714,9329,0.7
8be77c9e,5.29,10,714,6467,0.9
2bcee788,18.01,10,2885,23226,0.1
2bcee788,17.38,10,2885,17221,0.3
2bcee788,18.04,10,2885,16174,0.5
2bcee788,18.18,10,2885,20745,0.7
2bcee788,21.27,10,2885,20331,0.9
7f4411dc,17.99,10,3513,19604,0.1
7f4411dc,17.83,10,3513,20254,0.3
7f4411dc,18.11,10,3513,17760,0.5
7f4411dc,18.4,10,3513,23912,0.7
7f4411dc,17.94,10,3513,21699,0.9
05269061,16.24,10,1353,16731,0.1
05269061,17.25,10,1353,16232,0.3
05269061,17.53,10,1353,14788,0.5
05269061,13.21,10,1353,14354,0.7
05269061,13.46,10,1353,16012,0.9
6d58a25d,17.92,10,7671,13094,0.1
6d58a25d,13.08,10,7671,12599,0.3
6d58a25d,18.38,10,7671,15814,0.5
6d58a25d,18.44,10,7671,15505,0.7
6d58a25d,16.81,10,7671,13491,0.9
cf98881b,13.66,10,1579,17521,0.1
cf98881b,15.21,10,1579,19566,0.3
cf98881b,17.56,10,1579,20138,0.5
cf98881b,20.01,10,1579,18213,0.7
cf98881b,17.65,10,1579,21089,0.9
b527c5c6,18.97,10,8285,23690,0.1
b527c5c6,18.7,10,8285,22037,0.3
b527c5c6,18.64,10,8285,19963,0.5
b527c5c6,19.18,10,8285,21991,0.7
b527c5c6,19.55,10,8285,18248,0.9
d07ae81c,8.7,10,4197,11570,0.1
d07ae81c,17.68,10,4197,15354,0.3
d07ae81c,18.06,10,4197,16756,0.5
d07ae81c,17.82,10,4197,14293,0.7
d07ae81c,17.57,10,4197,13509,0.9
b1948b0a,8.78,10,795,10345,0.1
b1948b0a,7.99,10,795,10582,0.3
b1948b0a,11.63,10,795,10452,0.5
b1948b0a,7.69,10,795,9458,0.7
b1948b0a,7.52,10,795,9024,0.9
d0f5fe59,20.74,10,1758,10677,0.1
d0f5fe59,12.85,10,1758,11720,0.3
d0f5fe59,16.06,10,1758,12825,0.5
d0f5fe59,8.07,10,1758,9204,0.7
d0f5fe59,13.44,10,1758,12344,0.9
