task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
e6721834,18.91,10,4476,15141,0.1
e6721834,18.22,10,4476,12160,0.3
e6721834,17.97,10,4476,13306,0.5
e6721834,18.79,10,4476,18746,0.7
e6721834,18.41,10,4476,18029,0.9
fafffa47,18.62,10,904,18538,0.1
fafffa47,11.26,10,904,16522,0.3
fafffa47,15.65,10,904,14992,0.5
fafffa47,18.45,10,904,18012,0.7
fafffa47,11.78,10,904,13965,0.9
73251a56,20.31,10,8409,17284,0.1
73251a56,19.25,10,8409,17266,0.3
73251a56,19.45,10,8409,17921,0.5
73251a56,19.76,10,8409,22706,0.7
73251a56,19.36,10,8409,16454,0.9
6cf79266,18.6,10,7671,13501,0.1
6cf79266,9.73,10,7671,9629,0.3
6cf79266,13.62,10,7671,12291,0.5
6cf79266,10.47,10,7671,11128,0.7
6cf79266,19.97,10,7671,9745,0.9
a65b410d,13.24,10,1575,13980,0.1
a65b410d,12.17,10,1575,12777,0.3
a65b410d,17.83,10,1575,16851,0.5
a65b410d,13.01,10,1575,14481,0.7
a65b410d,12.8,10,1575,13969,0.9
5117e062,13.1,10,2073,10989,0.1
5117e062,16.52,10,2073,16638,0.3
5117e062,17.99,10,2073,21218,0.5
5117e062,18.37,10,2073,15621,0.7
5117e062,16.8,10,2073,13385,0.9
ba26e723,13.42,10,1561,12116,0.1
ba26e723,12.18,10,1561,14252,0.3
ba26e723,21.51,10,1561,16698,0.5
ba26e723,18.4,10,1561,18186,0.7
ba26e723,18.05,10,1561,19141,0.9
25d8a9c8,7.26,10,701,8519,0.1
25d8a9c8,9.0,10,701,9096,0.3
25d8a9c8,9.86,10,701,9899,0.5
25d8a9c8,9.11,10,701,10399,0.7
25d8a9c8,8.28,10,701,9890,0.9
50cb2852,18.27,10,3369,23573,0.1
50cb2852,18.12,10,3369,16914,0.3
50cb2852,18.33,10,3369,17601,0.5
50cb2852,19.05,10,3369,22454,0.7
50cb2852,18.84,10,3369,21864,0.9
952a094c,17.93,10,2271,17873,0.1
952a094c,17.0,10,2271,12723,0.3
952a094c,19.46,10,2271,19476,0.5
952a094c,16.99,10,2271,15012,0.7
952a094c,18.03,10,2271,16474,0.9
c3e719e8,14.07,10,1281,11958,0.1
c3e719e8,10.66,10,1281,10736,0.3
c3e719e8,15.24,10,1281,14092,0.5
c3e719e8,16.5,10,1281,19905,0.7
c3e719e8,17.73,10,1281,14855,0.9
623ea044,17.9,10,3465,13273,0.1
623ea044,18.04,10,3465,13001,0.3
623ea044,17.91,10,3465,13798,0.5
623ea044,18.94,10,3465,16348,0.7
623ea044,18.23,10,3465,12188,0.9
a5f85a15,8.87,10,1125,8044,0.1
a5f85a15,13.62,10,1125,11079,0.3
a5f85a15,12.69,10,1125,13132,0.5
a5f85a15,13.83,10,1125,16066,0.7
a5f85a15,11.88,10,1125,13596,0.9
5c0a986e,16.78,10,2271,14868,0.1
5c0a986e,18.74,10,2271,24044,0.3
5c0a986e,24.47,10,2271,20456,0.5
5c0a986e,16.17,10,2271,14451,0.7
5c0a986e,18.85,10,2271,20660,0.9
007bbfb7,14.38,10,1849,15671,0.1
007bbfb7,17.72,10,1849,16728,0.3
007bbfb7,18.44,10,1849,20918,0.5
007bbfb7,18.63,10,1849,21044,0.7
007bbfb7,18.32,10,1849,19101,0.9
017c7c7b,12.36,10,876,11685,0.1
017c7c7b,10.34,10,876,11642,0.3
017c7c7b,10.55,10,876,13149,0.5
017c7c7b,10.85,10,876,11726,0.7
017c7c7b,11.98,10,876,11981,0.9
f25fbde4,18.81,10,1596,16714,0.1
f25fbde4,6.26,10,1596,8932,0.3
f25fbde4,10.74,10,1596,9434,0.5
f25fbde4,14.55,10,1596,15487,0.7
f25fbde4,16.69,10,1596,14410,0.9
9af7a82c,10.29,10,851,14185,0.1
9af7a82c,12.35,10,851,16160,0.3
9af7a82c,12.12,10,851,15662,0.5
9af7a82c,11.5,10,851,13289,0.7
9af7a82c,17.18,10,851,13020,0.9
ec883f72,18.25,10,2435,17748,0.1
ec883f72,18.13,10,2435,18551,0.3
ec883f72,23.96,10,2435,14382,0.5
ec883f72,19.61,10,2435,20070,0.7
ec883f72,16.94,10,2435,14153,0.9
9172f3a0,13.24,10,997,12393,0.1
9172f3a0,10.04,10,997,10633,0.3
9172f3a0,10.23,10,997,12234,0.5
9172f3a0,10.02,10,997,10593,0.7
9172f3a0,12.17,10,997,11854,0.9
6c434453,14.92,10,1657,14890,0.1
6c434453,18.75,10,1657,18192,0.3
6c434453,13.65,10,1657,14172,0.5
6c434453,14.71,10,1657,16246,0.7
6c434453,15.18,10,1657,19863,0.9
b9b7f026,17.1,10,2646,10363,0.1
b9b7f026,5.61,10,2646,6699,0.3
b9b7f026,17.53,10,2646,14957,0.5
b9b7f026,25.64,10,2646,16006,0.7
b9b7f026,17.07,10,2646,9878,0.9
36fdfd69,19.13,10,5007,27569,0.1
36fdfd69,21.19,10,5007,14450,0.3
36fdfd69,26.0,10,5007,14851,0.5
36fdfd69,18.58,10,5007,12950,0.7
36fdfd69,24.07,10,5007,14151,0.9
d22278a0,18.29,10,3257,16735,0.1
d22278a0,19.05,10,3257,17576,0.3
d22278a0,18.43,10,3257,20325,0.5
d22278a0,13.01,10,3257,11790,0.7
d22278a0,18.54,10,3257,17770,0.9
1f642eb9,19.44,10,2271,18715,0.1
1f642eb9,26.11,10,2271,29451,0.3
1f642eb9,18.85,10,2271,17249,0.5
1f642eb9,16.37,10,2271,17476,0.7
1f642eb9,18.53,10,2271,22203,0.9
ae4f1146,18.12,10,1565,15112,0.1
ae4f1146,18.81,10,1565,14269,0.3
ae4f1146,17.86,10,1565,12699,0.5
ae4f1146,20.28,10,1565,16440,0.7
ae4f1146,18.33,10,1565,17340,0.9
a68b268e,17.92,10,2259,18409,0.1
a68b268e,20.89,10,2259,15383,0.3
a68b268e,18.23,10,2259,20190,0.5
a68b268e,18.12,10,2259,20015,0.7
a68b268e,18.23,10,2259,19542,0.9
85c4e7cd,18.4,10,2549,16082,0.1
85c4e7cd,18.95,10,2549,26439,0.3
85c4e7cd,18.02,10,2549,15934,0.5
85c4e7cd,19.37,10,2549,23333,0.7
85c4e7cd,18.09,10,2549,14051,0.9
d06dbe63,16.44,10,2485,13129,0.1
d06dbe63,17.61,10,2485,10053,0.3
d06dbe63,18.23,10,2485,10363,0.5
d06dbe63,15.67,10,2485,10165,0.7
d06dbe63,18.13,10,2485,18123,0.9
ea786f4a,17.7,10,969,16819,0.1
ea786f4a,13.5,10,969,13734,0.3
ea786f4a,13.21,10,969,14718,0.5
ea786f4a,18.51,10,969,16008,0.7
ea786f4a,11.28,10,969,11479,0.9
a78176bb,17.7,10,2271,13192,0.1
a78176bb,14.13,10,2271,10804,0.3
a78176bb,18.84,10,2271,13520,0.5
a78176bb,18.74,10,2271,18657,0.7
a78176bb,23.25,10,2271,15735,0.9
ed36ccf7,10.41,10,701,11026,0.1
ed36ccf7,8.19,10,701,9329,0.3
ed36ccf7,10.34,10,701,10743,0.5
ed36ccf7,9.42,10,701,10281,0.7
ed36ccf7,13.11,10,701,12102,0.9
6cdd2623,18.06,10,5013,13699,0.1
6cdd2623,13.21,10,5013,8918,0.3
6cdd2623,18.84,10,5013,11632,0.5
6cdd2623,18.12,10,5013,15129,0.7
6cdd2623,18.85,10,5013,11173,0.9
9edfc990,18.46,10,4371,19465,0.1
9edfc990,19.06,10,4371,23069,0.3
9edfc990,21.59,10,4371,20745,0.5
9edfc990,18.32,10,4371,17599,0.7
9edfc990,18.54,10,4371,20394,0.9
72ca375d,18.72,10,1431,12819,0.1
72ca375d,11.77,10,1431,10060,0.3
72ca375d,12.28,10,1431,11729,0.5
72ca375d,17.21,10,1431,13547,0.7
72ca375d,13.2,10,1431,10773,0.9
b230c067,17.86,10,2271,15441,0.1
b230c067,16.9,10,2271,16697,0.3
b230c067,18.33,10,2271,20495,0.5
b230c067,20.21,10,2271,16460,0.7
b230c067,15.78,10,2271,15393,0.9
e76a88a6,18.41,10,1657,19376,0.1
e76a88a6,13.44,10,1657,16196,0.3
e76a88a6,20.28,10,1657,20658,0.5
e76a88a6,21.02,10,1657,15329,0.7
e76a88a6,13.15,10,1657,13106,0.9
ff805c23,8.93,10,5880,9737,0.1
ff805c23,18.54,10,5880,12211,0.3
ff805c23,18.5,10,5880,13687,0.5
ff805c23,19.03,10,5880,13898,0.7
ff805c23,8.43,10,5880,9996,0.9
60b61512,10.87,10,1429,11464,0.1
60b61512,14.73,10,1429,10817,0.3
60b61512,11.27,10,1429,11048,0.5
60b61512,20.02,10,1429,15171,0.7
60b61512,13.46,10,1429,11162,0.9
67e8384a,12.24,10,1025,16182,0.1
67e8384a,14.46,10,1025,11708,0.3
67e8384a,17.52,10,1025,17979,0.5
67e8384a,13.21,10,1025,13199,0.7
67e8384a,15.56,10,1025,15843,0.9
e8dc4411,17.78,10,3801,11689,0.1
e8dc4411,18.02,10,3801,12868,0.3
e8dc4411,18.02,10,3801,10674,0.5
e8dc4411,10.56,10,3801,7991,0.7
e8dc4411,18.52,10,3801,17705,0.9
3428a4f5,17.2,10,1625,17080,0.1
3428a4f5,20.79,10,1625,17187,0.3
3428a4f5,16.59,10,1625,17285,0.5
3428a4f5,17.2,10,1625,17591,0.7
3428a4f5,24.47,10,1625,19169,0.9
855e0971,17.89,10,5717,13546,0.1
855e0971,19.05,10,5717,22570,0.3
855e0971,18.64,10,5717,18539,0.5
855e0971,18.74,10,5717,15272,0.7
855e0971,18.95,10,5717,21125,0.9
ef135b50,15.69,10,2271,19002,0.1
ef135b50,18.13,10,2271,18668,0.3
ef135b50,19.86,10,2271,18927,0.5
ef135b50,17.15,10,2271,11627,0.7
ef135b50,18.13,10,2271,16746,0.9
99b1bc43,17.6,10,1109,16497,0.1
99b1bc43,14.26,10,1109,16158,0.3
99b1bc43,13.01,10,1109,19058,0.5
99b1bc43,17.79,10,1109,17485,0.7
99b1bc43,12.72,10,1109,12143,0.9
bc1d5164,18.06,10,1159,19459,0.1
bc1d5164,16.18,10,1159,14422,0.3
bc1d5164,19.35,10,1159,16015,0.5
bc1d5164,11.26,10,1159,12430,0.7
bc1d5164,13.21,10,1159,13502,0.9
d364b489,13.58,10,1657,19046,0.1
d364b489,13.1,10,1657,17153,0.3
d364b489,12.9,10,1657,15039,0.5
d364b489,13.81,10,1657,15609,0.7
d364b489,13.12,10,1657,16204,0.9
178fcbfb,18.27,10,2097,23766,0.1
178fcbfb,17.62,10,2097,19285,0.3
178fcbfb,18.12,10,2097,24055,0.5
178fcbfb,18.54,10,2097,20525,0.7
178fcbfb,18.1,10,2097,19570,0.9
6855a6e4,18.49,10,4521,19980,0.1
6855a6e4,18.23,10,4521,18478,0.3
6855a6e4,18.23,10,4521,20910,0.5
6855a6e4,18.53,10,4521,18552,0.7
6855a6e4,16.9,10,4521,13271,0.9
67a3c6ac,20.74,10,1077,15157,0.1
67a3c6ac,12.49,10,1077,14274,0.3
67a3c6ac,14.23,10,1077,17464,0.5
67a3c6ac,18.63,10,1077,15500,0.7
67a3c6ac,17.21,10,1077,16958,0.9
2dd70a9a,18.08,10,4821,13382,0.1
2dd70a9a,21.5,10,4821,18982,0.3
2dd70a9a,18.73,10,4821,15831,0.5
2dd70a9a,18.54,10,4821,10391,0.7
2dd70a9a,18.64,10,4821,13691,0.9
445eab21,7.7,10,1407,8706,0.1
445eab21,6.55,10,1407,7483,0.3
445eab21,7.15,10,1407,7827,0.5
445eab21,11.9,10,1407,8767,0.7
445eab21,17.72,10,1407,13190,0.9
6d0160f0,20.94,10,3389,27923,0.1
6d0160f0,18.74,10,3389,23089,0.3
6d0160f0,19.46,10,3389,22841,0.5
6d0160f0,18.73,10,3389,15336,0.7
6d0160f0,23.25,10,3389,21416,0.9
d43fd935,18.18,10,2271,26195,0.1
d43fd935,18.31,10,2271,22084,0.3
d43fd935,17.71,10,2271,15406,0.5
d43fd935,19.56,10,2271,23314,0.7
d43fd935,18.54,10,2271,22532,0.9
228f6490,19.49,10,2271,28762,0.1
228f6490,23.65,10,2271,19458,0.3
228f6490,18.94,10,2271,24833,0.5
228f6490,19.35,10,2271,25450,0.7
228f6490,17.71,10,2271,20463,0.9
22eb0ac0,25.4,10,2271,21828,0.1
22eb0ac0,16.08,10,2271,14473,0.3
22eb0ac0,16.79,10,2271,15179,0.5
22eb0ac0,18.43,10,2271,20472,0.7
22eb0ac0,18.11,10,2271,16218,0.9
5168d44c,15.18,10,1857,17854,0.1
5168d44c,11.98,10,1857,13670,0.3
5168d44c,18.33,10,1857,14294,0.5
5168d44c,21.1,10,1857,17156,0.7
5168d44c,18.43,10,1857,18639,0.9
9ecd008a,18.47,10,2856,18939,0.1
9ecd008a,18.51,10,2856,21687,0.3
9ecd008a,17.92,10,2856,16759,0.5
9ecd008a,22.32,10,2856,24348,0.7
9ecd008a,18.84,10,2856,19979,0.9
8a004b2b,20.29,10,4008,13676,0.1
8a004b2b,17.8,10,4008,12884,0.3
8a004b2b,22.63,10,4008,19005,0.5
8a004b2b,22.53,10,4008,14880,0.7
8a004b2b,17.92,10,4008,14889,0.9
e73095fd,23.0,10,4617,20472,0.1
e73095fd,18.25,10,4617,14710,0.3
e73095fd,22.3,10,4617,22985,0.5
e73095fd,18.38,10,4617,10749,0.7
e73095fd,18.07,10,4617,16265,0.9
dbc1a6ce,19.09,10,2981,24280,0.1
dbc1a6ce,20.7,10,2981,21121,0.3
dbc1a6ce,17.82,10,2981,19147,0.5
dbc1a6ce,19.25,10,2981,25967,0.7
dbc1a6ce,18.94,10,2981,19940,0.9
22233c11,15.46,10,2271,11403,0.1
22233c11,21.29,10,2271,16445,0.3
22233c11,7.59,10,2271,8556,0.5
22233c11,17.41,10,2271,14788,0.7
22233c11,22.01,10,2271,18670,0.9
b782dc8a,21.44,10,3133,27849,0.1
b782dc8a,17.9,10,3133,10178,0.3
b782dc8a,20.79,10,3133,15709,0.5
b782dc8a,24.27,10,3133,16843,0.7
b782dc8a,18.02,10,3133,17515,0.9
41e4d17e,17.49,10,3157,12286,0.1
41e4d17e,18.14,10,3157,22191,0.3
41e4d17e,23.55,10,3157,14237,0.5
41e4d17e,19.05,10,3157,21085,0.7
41e4d17e,19.05,10,3157,14475,0.9
39e1d7f9,19.45,10,12675,12097,0.1
39e1d7f9,19.35,10,12675,17672,0.3
39e1d7f9,19.66,10,12675,14365,0.5
39e1d7f9,22.26,10,12675,13297,0.7
39e1d7f9,19.11,10,12675,10895,0.9
5daaa586,16.46,10,3879,13969,0.1
5daaa586,11.57,10,3879,10778,0.3
5daaa586,20.28,10,3879,18946,0.5
5daaa586,19.66,10,3879,15088,0.7
5daaa586,23.24,10,3879,14616,0.9
48d8fb45,17.76,10,1452,16888,0.1
48d8fb45,19.18,10,1452,17930,0.3
48d8fb45,18.13,10,1452,16909,0.5
48d8fb45,14.09,10,1452,15759,0.7
48d8fb45,16.69,10,1452,16110,0.9
7ddcd7ec,15.8,10,2271,22241,0.1
7ddcd7ec,6.46,10,2271,6873,0.3
7ddcd7ec,17.0,10,2271,16460,0.5
7ddcd7ec,15.36,10,2271,16319,0.7
7ddcd7ec,17.31,10,2271,17037,0.9
760b3cac,14.12,10,1443,16303,0.1
760b3cac,16.9,10,1443,12465,0.3
760b3cac,18.02,10,1443,16545,0.5
760b3cac,11.67,10,1443,14885,0.7
760b3cac,18.23,10,1443,17841,0.9
868de0fa,18.39,10,6175,15096,0.1
868de0fa,21.7,10,6175,16225,0.3
868de0fa,18.33,10,6175,15955,0.5
868de0fa,19.26,10,6175,22213,0.7
868de0fa,18.93,10,6175,15899,0.9
0e206a2e,22.13,10,4587,20188,0.1
0e206a2e,19.05,10,4587,19710,0.3
0e206a2e,18.23,10,4587,16377,0.5
0e206a2e,18.43,10,4587,15361,0.7
0e206a2e,18.94,10,4587,15560,0.9
36d67576,18.14,10,3513,23588,0.1
36d67576,22.53,10,3513,23589,0.3
